game,state,date,position,result
PTM,RJ,2018-03-06,1,9361
PTM,RJ,2018-03-06,2,1013
PTM,RJ,2018-03-06,3,2179
PTM,RJ,2018-03-06,4,1740
PTM,RJ,2018-03-06,5,8887
PTM,RJ,2018-03-06,6,3180
PTM,RJ,2018-02-06,1,5910
PTM,RJ,2018-02-06,2,4809
PTM,RJ,2018-02-06,3,6928
PTM,RJ,2018-02-06,4,9133
PTM,RJ,2018-02-06,5,1316
PTM,RJ,2018-02-06,6,8096
PTM,RJ,2018-01-06,1,0677
PTM,RJ,2018-01-06,2,6627
PTM,RJ,2018-01-06,3,0227
PTM,RJ,2018-01-06,4,7018
PTM,RJ,2018-01-06,5,2397
PTM,RJ,2018-01-06,6,6946
PTM,RJ,2018-05-31,1,5206
PTM,RJ,2018-05-31,2,3977
PTM,RJ,2018-05-31,3,8909
PTM,RJ,2018-05-31,4,3839
PTM,RJ,2018-05-31,5,0853
PTM,RJ,2018-05-31,6,2784
PTM,RJ,2018-05-30,1,7688
PTM,RJ,2018-05-30,2,3051
PTM,RJ,2018-05-30,3,0497
PTM,RJ,2018-05-30,4,1258
PTM,RJ,2018-05-30,5,9547
PTM,RJ,2018-05-30,6,2041
PTM,RJ,2018-05-29,1,7014
PTM,RJ,2018-05-29,2,6527
PTM,RJ,2018-05-29,3,3562
PTM,RJ,2018-05-29,4,7733
PTM,RJ,2018-05-29,5,3938
PTM,RJ,2018-05-29,6,8774
PTM,RJ,2018-05-28,1,2505
PTM,RJ,2018-05-28,2,8611
PTM,RJ,2018-05-28,3,4824
PTM,RJ,2018-05-28,4,8518
PTM,RJ,2018-05-28,5,0179
PTM,RJ,2018-05-28,6,4637
CORUJA,RJ,2018-02-06,1,0440
CORUJA,RJ,2018-02-06,2,3461
CORUJA,RJ,2018-02-06,3,3621
CORUJA,RJ,2018-02-06,4,5729
CORUJA,RJ,2018-02-06,5,1659
CORUJA,RJ,2018-02-06,6,4910
CORUJA,RJ,2018-02-06,7,2284
CORUJA,RJ,2018-02-06,1,0440
PT,SP,2018-03-06,1,1460
PT,SP,2018-03-06,2,6636
PT,SP,2018-03-06,3,9768
PT,SP,2018-03-06,4,9000
PT,SP,2018-03-06,5,4925
PT,SP,2018-03-06,6,1789
PT,SP,2018-02-06,1,7897
CORUJA,RJ,2018-02-06,2,3461
CORUJA,RJ,2018-02-06,3,3621
CORUJA,RJ,2018-02-06,4,5729
CORUJA,RJ,2018-02-06,5,1659
CORUJA,RJ,2018-02-06,6,4910
CORUJA,RJ,2018-01-06,1,8389
CORUJA,RJ,2018-01-06,2,8255
CORUJA,RJ,2018-01-06,3,9885
CORUJA,RJ,2018-01-06,4,0059
CORUJA,RJ,2018-01-06,5,7067
CORUJA,RJ,2018-01-06,6,3655
CORUJA,RJ,2018-05-30,1,2962
CORUJA,RJ,2018-05-30,2,4531
PT,SP,2018-02-06,2,9788
PT,SP,2018-02-06,3,6644
PT,SP,2018-02-06,4,9053
PT,SP,2018-02-06,5,8892
PT,SP,2018-02-06,6,2274
PTN,SP,2018-01-06,1,8038
PTN,SP,2018-01-06,2,8039
PTN,SP,2018-01-06,3,0320
PTN,SP,2018-01-06,4,0437
PTN,SP,2018-01-06,5,2028
PTN,SP,2018-01-06,6,8862
PT,SP,2018-01-06,1,6483
CORUJA,RJ,2018-05-30,3,5913
CORUJA,RJ,2018-05-30,4,7904
CORUJA,RJ,2018-05-30,5,1570
CORUJA,RJ,2018-05-30,6,1980
CORUJA,RJ,2018-05-29,1,6569
CORUJA,RJ,2018-05-29,2,5984
CORUJA,RJ,2018-05-29,3,5799
CORUJA,RJ,2018-05-29,4,0679
CORUJA,RJ,2018-05-29,5,5428
CORUJA,RJ,2018-05-29,6,4459
CORUJA,RJ,2018-05-29,1,6569
CORUJA,RJ,2018-05-29,2,5984
CORUJA,RJ,2018-05-29,3,5799
CORUJA,RJ,2018-05-29,4,0679
CORUJA,RJ,2018-05-29,5,5428
PT,SP,2018-01-06,2,6861
PT,SP,2018-01-06,3,0798
PT,SP,2018-01-06,4,6573
PT,SP,2018-01-06,5,3975
PT,SP,2018-01-06,6,4690
PT,SP,2018-05-31,31,2018
PT,SP,2018-05-31,1,1480
PT,SP,2018-05-31,2,0535
PT,SP,2018-05-31,3,0515
PT,SP,2018-05-31,4,7556
PT,SP,2018-05-31,5,5803
PT,SP,2018-05-31,6,5889
PT,SP,2018-05-30,30,2018
CORUJA,RJ,2018-05-29,6,4459
CORUJA,RJ,2018-05-28,1,0999
CORUJA,RJ,2018-05-28,2,0461
CORUJA,RJ,2018-05-28,3,4231
CORUJA,RJ,2018-05-28,4,9672
CORUJA,RJ,2018-05-28,5,0495
CORUJA,RJ,2018-05-28,6,5858
PT,SP,2018-05-30,1,4121
PT,SP,2018-05-30,2,1783
PT,SP,2018-05-30,3,7141
PT,SP,2018-05-30,4,8421
PT,SP,2018-05-30,5,4396
PT,SP,2018-05-30,6,5862
PTN,SP,2018-05-29,29,2018
PTN,SP,2018-05-29,1,3511
PTN,SP,2018-05-29,2,7036
PTN,SP,2018-05-29,3,6240
PTN,SP,2018-05-29,4,3911
PTN,SP,2018-05-29,5,4949
PTN,SP,2018-05-29,6,5647
PTM,RJ,2018-05-27,1,8174
PTM,RJ,2018-05-27,2,5757
PTM,RJ,2018-05-27,3,8264
PTM,RJ,2018-05-27,4,3381
PTM,RJ,2018-05-27,5,6933
PTM,RJ,2018-05-27,6,2509
PTM,RJ,2018-05-26,1,6749
PTM,RJ,2018-05-26,2,8320
PTM,RJ,2018-05-26,3,8645
PTM,RJ,2018-05-26,4,2005
PTM,RJ,2018-05-26,5,0732
PTM,RJ,2018-05-26,6,6451
PTM,RJ,2018-05-25,1,4692
PTM,RJ,2018-05-25,2,5186
PTM,RJ,2018-05-25,3,2494
PTM,RJ,2018-05-25,4,4725
PTM,RJ,2018-05-25,5,7013
PTM,RJ,2018-05-25,6,4110
PTM,RJ,2018-05-24,1,9827
PTM,RJ,2018-05-24,2,0705
PTM,RJ,2018-05-24,3,2881
PTM,RJ,2018-05-24,4,3818
PTM,RJ,2018-05-24,5,2620
PTM,RJ,2018-05-24,6,9851
PTM,RJ,2018-05-23,1,1163
PTM,RJ,2018-05-23,2,8972
PTM,RJ,2018-05-23,3,5988
PTM,RJ,2018-05-23,4,9358
PTM,RJ,2018-05-23,5,0199
PTM,RJ,2018-05-23,6,5680
PTM,RJ,2018-05-22,1,2607
PTM,RJ,2018-05-22,2,4789
PTM,RJ,2018-05-22,3,1373
PTM,RJ,2018-05-22,4,6841
PTM,RJ,2018-05-22,5,1491
PTM,RJ,2018-05-22,6,7101
PTM,RJ,2018-05-21,1,2407
PTM,RJ,2018-05-21,2,1111
PTM,RJ,2018-05-21,3,0370
PTM,RJ,2018-05-21,4,8867
PTM,RJ,2018-05-21,5,0874
PTM,RJ,2018-05-21,6,3629
PT,SP,2018-05-29,29,2018
PT,SP,2018-05-29,1,5052
PT,SP,2018-05-29,2,8894
PT,SP,2018-05-29,3,7580
PT,SP,2018-05-29,4,2356
PT,SP,2018-05-29,5,8419
PT,SP,2018-05-29,6,2301
PTN,SP,2018-05-28,28,2018
PTN,SP,2018-05-28,1,7269
PTN,SP,2018-05-28,2,9399
PTN,SP,2018-05-28,3,4566
PTN,SP,2018-05-28,4,2545
PTN,SP,2018-05-28,5,6204
PTN,SP,2018-05-28,6,9983
PT,SP,2018-05-28,28,2018
CORUJA,RJ,2018-05-26,1,1741
CORUJA,RJ,2018-05-26,2,8378
CORUJA,RJ,2018-05-26,3,6517
CORUJA,RJ,2018-05-26,4,5723
